Id,Name,Latitude,Longitude,Corridor
97,UNJ,-6.19289,106.88008,4
98,Pramuka BPKP,-6.19234,106.87388,4
99,Pramuka LIA,-6.19225,106.86846,4
100,Utan Kayu,-6.19277,106.8645,4
101,Pasar Genjing,-6.19452,106.86082,4
102,Matraman,-6.19912,106.85434,4
103,Manggarai,-6.20889,106.847462,4
104,Pasar Rumput,-6.20712,106.841156,4
105,Halimun,-6.20516,106.8335,4
106,Dukuh Atas 2,-6.20442,106.82335,4
107,Matraman 2,0,0,4
108,Ancol,-6.12722,106.83037,5
109,Pademangan,-6.13393,106.83165,5
110,Gn. Sahari Mangga Dua,-6.13718,106.83237,5
111,Jembatan Merah,-6.1468,106.83415,5
112,Pasar Baru Timur,-6.16249,106.83811,5
113,Budi Utomo,-6.16599,106.83898,5
114,Central Senen ,-6.17835,106.84184,5
115,Pal Putih,-6.18446,106.84388,5
116,Kramat Sentiong NU,-6.18824,106.84597,5
117,Salemba UI,-6.19365,106.84891,5
118,Salemba Carolus,-6.19623,106.85019,5
119,Matraman 1,-6.20009,106.85381,5
120,Tegalan,-6.20284,106.85698,5
121,Slamet Riyadi,-6.20871,106.85926,5
122,Kebon Pala,-6.21308,106.86118,5
123,Kampung Melayu,-6.22487,106.86669,5
124,Pasar Jatinegara,-6.21584,106.8663,5
125,Ragunan,-6.3056,106.82032,6
126,Departemen Pertanian,-6.29441,106.82213,6
127,SMK 57,-6.29118,106.82349,6
128,Jati Padang,-6.28557,106.82613,6
129,Pejaten,-6.2783,106.82971,6
130,Buncit Indah,-6.2742,106.83025,6
131,Warung Jati,-6.2623,106.82962,6
132,Imigrasi Jakarta Selatan,-6.25663,106.8279,6
133,Duren Tiga,-6.25196,106.82682,6
134,Mampang Prapatan,-6.24218,106.82562,6
135,Kuningan Timur,-6.23603,106.82767,6
136,Patra Kuningan,-6.23342,106.83128,6
137,Departemen Kesehatan,-6.22859,106.83308,6
138,Gelanggang Olahraga Sumantri,-6.22077,106.83191,6
139,Karet Kuningan,-6.21743,106.83079,6
140,Kuningan Madya,-6.21248,106.83036,6
141,Setiabudi Utara Aini,-6.20821,106.8299,6
142,Latuharhari,-6.20288,106.82772,6
143,Halimun,-6.20516,106.8335,6
144,Dukuh Atas 2,-6.20442,106.82335,6
145,Kampung Melayu,-6.2246416667,106.8668027778,7
146,Bidara Cina,-6.2297194444,106.8672222222,7
147,Gelanggang Remaja,-6.2354166667,106.8679444444,7
148,Cawang Otista,-6.2436611111,106.8687416667,7
149,Cawang BNN,-6.2461055556,106.872075,7
150,Cawang UKI,-6.2503444444,106.8735916667,7
151,BKN,-6.2578111111,106.8699416667,7
152,Cililitan PGC,-6.2624527778,106.8663694444,7
153,Pasar Kramat Jati,-6.2688111111,106.8666027778,7
154,Pasar Induk,-6.2942138889,106.872025,7
155,RS Harapan Bunda,-6.3019,106.8680416667,7
156,Flyover Raya Bogor,-6.3065166667,106.8657027778,7
157,Tanah Merdeka,-6.3082,106.8738611111,7
158,Kampung Rambutan,-6.3092083333,106.881625,7
159,Terminal Lebak Bulus,-6.2893,106.7746,8
160,Pondok Pinang,-6.2822,106.77195,8
161,Pondok Indah 1,-6.28746,106.77908,8
162,Pondok Indah 2,-6.26718,106.78341,8
163,Tanah Kusir Kodim,-6.25691,106.78155,8
164,Kebayoran Lama Bungur,-6.25279,106.78149,8
165,Pasar Kebayoran Lama,-6.2384,106.7827,8
166,Simprug,-6.23394,106.78629,8
167,Permata Hijau,-6.22173,106.78296,8
168,Permata Hijau RS Medika,-6.21845,106.77731,8
169,Pos Pengumben,-6.21288,106.77225,8
170,Kelapa Dua Sasak,-6.20578,106.7695,8
171,Kebon Jeruk RCTI,-6.1944,106.76926,8
172,Duri Kepa,-6.18527,106.76804,8
173,Kedoya Assiddiqiyah,-6.17492,106.76592,8
174,Kedoya Green Garden,-6.16436,106.7628,8
175,Harmoni,-6.16596,106.82038,8
176,Pluit,-6.1157805556,106.7911722222,9
177,Penjaringan,-6.1262694444,106.7920222222,9
178,Jembatan Tiga,-6.1333972222,106.7926916667,9
179,Jembatan Dua,-6.1432611111,106.7935222222,9
180,Jembatan Besi,-6.1520111111,106.7949194444,9
181,Stasiun Grogol Latumenten,-6.1607694444,106.7907166667,9
182,Grogol 2 Reformasi,-6.1672805556,106.7882138889,9
183,S Parman Podomoro City,-6.1758611111,106.79315,9
184,RS Harapan Kita,-6.1852388889,106.7971111111,9
185,Slipi Kemanggisan,-6.1898361111,106.7969611111,9
186,Slipi Petamburan,-6.2020666667,106.7999138889,9
187,Senayan JCC,-6.2138472222,106.8083944444,9
188,Semanggi,-6.220475,106.8131361111,9
189,Gatot Subroto LIPI,-6.2274555556,106.8176638889,9
190,Gatot Subroto Jamsostek,-6.2325666667,106.8216138889,9
191,Kuningan Barat,-6.2370305556,106.8276472222,9
192,Tegal Parang,-6.2390277778,106.8311166667,9
193,Pancoran Barat,-6.2415388889,106.8381083333,9
194,Pancoran Tugu,-6.243325,106.8438444444,9
195,Tebet BKPM,-6.2430472222,106.8521194444,9
196,Cikoko Stasiun Cawang,-6.2430194444,106.8581333333,9
197,Cawang Ciliwung,-6.2429916667,106.8635444444,9
198,Cawang BNN,-6.2461055556,106.872075,9
199,Cawang UKI,-6.2503444444,106.8735916667,9
200,Tol Jagorawi,0,0,9
201,Taman Mini Garuda,-6.2901611111,106.881175,9
202,Pinang Ranti,-6.291175,106.8863916667,9
